label,area,perim,circ,intensity,layer
576,7683,770.4884194358182,0.1626329223982937,19.232070805674866,l5
577,65,26.727922061357855,1.1433858892749118,194.90769230769232,l5
578,37,21.899494936611664,0.9694901259935806,83.75675675675676,l5
579,2209,347.1553749530773,0.23033386354802238,18.174739701222272,l5
580,381,84.66904755831214,0.6678600887585435,24.881889763779526,l5
581,121,61.87005768508881,0.39722282200922077,14.107438016528926,l5
582,300,61.941125496954285,0.9825913439124125,88.98333333333333,l5
583,81,31.31370849898476,1.038068168883187,32.41975308641975,l5
584,63,26.727922061357855,1.10820478498953,217.44444444444446,l5
585,796,208.30865786510142,0.2305198297876591,20.152010050251256,l5
586,165,46.04163056034261,0.9781206251851097,76.64242424242424,l5
587,63,26.72792206135785,1.1082047849895302,170.6984126984127,l5
588,114,38.14213562373095,0.9847017352631752,174.10526315789474,l5
589,160,52.45584412271572,0.7307050123542919,38.75,l5
590,130,40.384776310850235,1.0016542843214846,168.1846153846154,l5
591,281,62.526911934581186,0.9031964526110874,22.10320284697509,l5
592,92,32.970562748477136,1.0635183109500363,145.17391304347825,l5
593,134,41.21320343559643,0.9913840255116857,34.97014925373134,l5
594,88,32.14213562373095,1.070392549811525,133.29545454545453,l5
595,192,51.21320343559642,0.9199139574658515,89.5,l5
596,180,49.21320343559643,0.933940261960626,87.74444444444444,l5
597,115,38.970562748477136,0.9515559954941533,83.15652173913044,l5
598,60,35.970562748477136,0.5827290244125715,140.15,l5
599,37,34.65685424949238,0.3871090354797312,17.054054054054053,l5
600,122,41.59188309203678,0.886242406943552,136.61475409836066,l5
601,121,38.384776310850235,1.0319940804754968,103.1900826446281,l5
602,122,39.79898987322333,0.9678890925374924,132.74590163934425,l5
603,171,75.76955262170047,0.3742971570310392,22.029239766081872,l5
604,2947,440.4812767608817,0.19086886637542116,17.720054292500848,l5
605,202,50.62741699796952,0.9903522505093063,141.36138613861385,l5
606,96,34.384776310850235,1.0203488756762968,208.38541666666666,l5
607,22,16.414213562373096,1.0261063743765533,112.68181818181819,empty
608,408,94.70458146424488,0.5716471582750934,38.82107843137255,empty
609,83,31.556349186104043,1.0474045356262338,64.04819277108433,l5
610,169,45.798989873223334,1.0124760753932178,86.04733727810651,l5
611,115,39.21320343559643,0.9398164868714921,39.23478260869565,l5
612,157,44.04163056034261,1.0171446926286092,198.1464968152866,l5
613,194,49.79898987322333,0.9830384995146496,137.80927835051546,l5
614,57,27.556349186104043,0.9432815955333343,31.31578947368421,l5
615,150,44.627416997969526,0.9464498815899698,134.87333333333333,l5
616,98,37.384776310850235,0.881142942043022,27.367346938775512,l5
617,167,46.04163056034261,0.9899766327631112,103.88023952095809,l5
618,180,46.87005768508881,1.0296541946271414,131.37222222222223,l5
619,87,42.384776310850235,0.6085682989486471,61.9080459770115,l5
620,166,45.45584412271572,1.0095747912995066,103.34939759036145,l5
621,248,60.526911934581186,0.850676647875593,98.79032258064517,l5
622,76,30.727922061357855,1.011479467121017,185.97368421052633,l5
623,615,167.30256121069155,0.2761085153014325,21.23739837398374,l5
624,166,47.21320343559642,0.9358171826802831,30.99397590361446,l5
625,256,60.284271247461895,0.8852008021443689,41.53515625,l5
626,111,36.384776310850235,1.0536428496811623,66.30630630630631,l5
627,1437,239.69343417595164,0.3143072194836947,21.27348643006263,l5
628,115,40.97056274847714,0.8609220793340893,26.869565217391305,l5
629,120,40.38477631085024,0.924603954758293,25.325,l5
630,118,81.01219330881976,0.2259389419431424,17.6864406779661,empty
631,88,32.14213562373095,1.070392549811525,203.77272727272728,l5
632,50,31.384776310850235,0.6378841236126003,23.26,l5
633,190,50.04163056034262,0.9534557897646573,38.16315789473684,l5
634,47,23.899494936611667,1.034023182419364,46.297872340425535,empty
635,66,33.3492424049175,0.7457304119136343,15.757575757575758,empty
636,102,35.55634918610404,1.0138546808406577,42.1764705882353,l5
637,160,44.62741699796952,1.009546540362635,23.86875,l5
638,117,40.384776310850235,0.9014888558893361,25.299145299145298,l5
639,94,33.55634918610404,1.0490309646545715,82.63829787234043,l5
640,114,39.21320343559643,0.9316441695943486,53.473684210526315,l5
641,178,47.79898987322333,0.9790219493119512,166.63483146067415,l5
