,layer,label,surface,dist
2369,l23,11796,86.11724131026305,270.7550523862936
2370,l23,11797,241.2946857968723,228.18276062727085
2371,l23,11802,220.07739445956113,247.50346749515987
2372,l23,11803,8.736531727128135,213.5387869740501
2373,l23,11805,139.78450763405016,303.18669863010643
2374,l23,11806,154.76141916626983,286.3143527993997
2375,l23,11807,160.16974833068247,244.8833528634902
2376,l23,11812,123.5595201408122,270.9382455097819
2377,l23,11813,214.66906529514847,242.44461116814693
2378,l23,11816,182.21909030867255,261.0466870841768
2379,l23,11822,309.52283833253966,293.8479925599012
2380,l23,11823,220.49341977990056,290.5054784385419
2381,l23,11824,284.1452937918341,212.36375768753462
2382,l23,11829,186.79536883240633,282.2179831356168
2383,l23,11830,339.0606360766395,230.0522508265567
2384,l23,11836,221.32547042057942,301.1282452133791
2385,l23,11837,110.66273521028971,271.3477807100492
2386,l23,11839,204.2684322866626,282.7514520226263
2387,l23,11840,109.83068456961084,264.2258925733758
2388,l23,11841,174.31460922222328,246.82125195203784
2389,l23,11845,172.65050794086554,280.3137382740361
2390,l23,11846,146.02488743914168,254.2048320151564
2391,l23,11856,93.60569707637288,280.49237267698794
2392,l23,11857,151.0171912832149,275.3840884567408
2393,l23,11860,174.7306345425627,277.29726393028864
2394,l23,11862,133.96015314929807,286.9329464042868
2395,l23,11863,121.47939353911502,263.0325143834202
2396,l23,11864,238.38250855449627,250.7406123814105
2397,l23,11870,147.68898872049942,280.5315077544046
2398,l23,11871,99.8460768814644,274.733846802056
2399,l23,11872,162.6659002527191,254.19943515736378
2400,l23,11873,241.2946857968723,218.08909086760394
2401,l23,11878,337.81256011562124,212.75980945464795
2402,l23,11885,156.42552044762758,224.19609196635676
2403,l23,11888,274.5767114240271,264.1261759980282
2404,l23,11889,202.18830568496543,244.3623810072302
2405,l23,11891,107.33453264757424,271.63497909483885
2406,l23,11901,137.70438103235298,270.2221570118117
2407,l23,11902,149.7691153221966,246.47324298725002
2408,l23,11905,202.18830568496543,275.3447240195397
2409,l23,11906,162.6659002527191,232.4369986073352
2410,l23,11907,296.6260534020172,197.09529194671964
2411,l23,11912,220.49341977990056,269.09215654958905
2412,l23,11913,120.23131757809672,231.61390360137113
2413,l23,11916,141.03258359506847,243.26292679109213
2414,l23,11923,165.1620521747557,276.33093570312656
2415,l23,11924,292.04977487828336,212.63174862371855
2416,l23,11930,176.81076114425989,232.9095341848972
2417,l23,11931,171.81845730018665,226.87409157654858
2418,l23,11934,117.7351656560601,271.30352611083555
2419,l23,11935,98.5980009204461,241.78115657717004
2420,l23,11941,111.91081117130801,257.3753168270967
2421,l23,11942,123.97554546115164,255.12533010493718
2422,l23,11943,265.42415437655956,247.8852920002617
2423,l23,11944,126.47169738318824,238.3056520205448
2424,l23,11947,209.67676145107524,266.667032957831
