,layer,label,surface,dist
581,l5,3915,61.571747410236384,609.8165622583143
582,l4,3924,28.705747103421015,478.9683620197529
583,l5,3936,73.63648170008,534.7669345848157
584,l5,3937,63.23584869159412,571.9083177646125
585,l5,3938,115.65503905436293,617.1079654997959
586,l5,3941,57.41149420684203,529.218239677158
587,l5,3942,82.37301342720814,539.291797151727
588,l5,3943,94.85377303739118,580.604015597575
589,l5,3959,71.97238041872225,549.4217420957774
590,l5,3960,83.20506406788701,593.2061989298143
591,l4,3971,40.77048139326463,484.11731653225195
592,l5,3983,84.03711470856587,520.412992208816
593,l4,3996,56.579443566163164,479.42810874751297
594,l5,3997,61.15572208989695,490.07031764966086
595,l5,4002,48.6749624797139,493.8626439382476
596,l4,4007,47.42688651869559,481.6323987090504
597,l5,4008,97.3499249594278,558.881470595004
598,l5,4014,56.579443566163164,597.1790235398005
599,l5,4024,56.16341824582373,515.7591563367517
600,l5,4025,76.1326336221166,548.79853092047
601,l5,4026,72.3884057390617,568.895648534016
602,l5,4044,56.9954688865026,499.4457739915556
603,l5,4045,64.48392465261243,572.8223026872035
604,l5,4052,81.95698810686869,608.6592149834879
605,l5,4062,47.01086119835615,506.796220206505
606,l5,4063,82.37301342720814,509.8301592224224
607,l4,4071,71.55635509838282,482.34910072473554
608,l4,4072,54.91534228480542,485.99108272661874
609,l5,4073,54.49931696446599,588.4191944599226
610,l5,4074,28.289721783081582,609.4321870394787
611,l4,4081,0.416025320339435,459.3355197251737
612,l5,4090,32.866000306815366,566.614316852108
613,l4,4111,48.25893715937446,468.14954165006105
614,l5,4112,67.39610189498848,592.1679682405928
615,l5,4123,99.8460768814644,572.1900561065654
616,l5,4124,83.62108938822644,583.8783024881496
617,l5,4125,44.93073459665898,595.2206448537249
618,l4,4133,48.25893715937446,476.44245324819724
619,l5,4145,41.18650671360407,493.030258144973
620,l5,4156,87.78134259162078,511.9446434872463
621,l5,4157,103.59030476451932,517.2057958107729
622,l5,4158,43.68265863564068,529.3102666577504
623,l5,4159,49.50701312039276,580.3310666086744
624,l4,4164,47.01086119835615,471.4513419013622
625,l5,4165,51.17111440175051,486.16718014488424
626,l5,4166,58.2435448475209,530.9589114506967
627,l5,4167,39.106380111906894,601.9177829001666
628,l5,4174,77.79673490347434,536.7390918337566
629,l5,4182,100.26210220180384,501.6573347278716
630,l5,4197,105.25440604587706,548.4852303861552
631,l4,4206,48.6749624797139,455.8321354256014
632,l5,4213,104.83838072553762,542.9283900965203
633,l4,4221,3.32820256271548,450.44999825304654
634,l5,4222,52.835215683108245,502.17766510192297
635,l5,4223,57.41149420684203,523.2187617372833
636,l5,4224,121.47939353911502,567.5309411050553
637,l4,4228,34.94612690851254,474.19352795757766
638,l5,4229,72.3884057390617,586.2411738448213
639,l5,4237,81.12493746618983,560.006879524587
640,l5,4247,50.339063761071635,539.5947262987274
641,l5,4253,142.28065955608676,552.1766796688338
642,l4,4261,39.52240543224632,483.0485037962117
643,l5,4262,128.55182398488543,573.383350795709
644,l4,4269,59.49162080853921,474.4044911050238
645,l5,4270,61.571747410236384,517.048528308542
646,l5,4283,44.098683955980114,568.3459321166976
647,l5,4284,57.827519527181465,590.8690413683104
648,l4,4293,53.66726632378712,449.5153452610912
649,l4,4307,32.44997498647593,444.0253705668759
650,l4,4308,47.42688651869559,450.7838431062946
651,l4,4309,38.69035479156746,468.8609398078095
652,l5,4310,101.09415284248271,490.57599853093984
653,l5,4311,29.12177242376045,558.3518321158923
654,l5,4314,71.14032977804338,507.4172190026022
655,l5,4315,67.39610189498848,581.6072836048576
656,l4,4323,60.323671449218075,462.6780460966374
657,l5,4324,71.97238041872225,521.7443117879899
658,l5,4328,60.323671449218075,533.4569576143131
659,l5,4329,85.70121598992361,571.5431413286103
660,l4,4333,96.1018489984095,450.6756166986905
661,l5,4334,44.93073459665898,502.0504750949592
662,l5,4358,65.73200061363073,493.2319809534374
663,l5,4359,67.8121272153279,510.4646390963288
664,l5,4360,51.587139722089944,557.3536001793658
665,l4,4379,60.323671449218075,467.64461824560954
666,l4,4380,51.17111440175051,476.80236865822684
667,l4,4381,45.76278523733785,479.50144952431094
668,l5,4382,58.65957016786034,495.574767856411
669,l4,4390,63.23584869159412,454.0379191254797
670,l5,4391,89.02941855263909,520.2402994854718
671,l4,4397,41.18650671360407,436.50644990659407
672,l5,4402,35.77817754919141,483.23036907157143
673,l5,4403,68.64417785600678,513.8707584934153
674,l5,4404,66.5640512543096,539.1323307237748
675,l4,4407,81.12493746618983,461.4647932696275
676,l5,4415,42.01855735428293,577.8749549992785
677,l4,4425,54.083291644126554,436.59387736148085
678,l4,4426,49.090987800053334,454.512981967758
679,l5,4427,88.61339323229966,560.1179468693889
680,l4,4437,52.835215683108245,442.5533235716569
681,l4,4438,67.8121272153279,480.96821542639555
682,l5,4439,109.41465924927141,526.4967721592651
683,l4,4445,67.8121272153279,445.20618144328824
684,l5,4446,95.68582367807005,545.2066124049059
685,l4,4449,47.01086119835615,470.42524542757764
686,l4,4456,30.369848384778756,478.6740071548376
687,l4,4463,36.19420286953085,428.0156651708695
688,l4,4464,46.17881055767729,448.2669992214655
689,l5,4465,85.28519066958418,531.0397360801192
690,l5,4466,69.0602031763462,540.3930995873328
691,l5,4470,41.602532033943504,553.17433095446
692,l4,4478,95.68582367807005,453.48428839853085
693,l5,4484,109.41465924927141,494.16611625988065
694,l4,4495,63.23584869159412,434.8586646074617
695,l4,4496,47.01086119835615,480.81557848146474
696,l5,4497,42.01855735428293,553.3897215020354
697,l4,4502,74.8845576610983,441.42382608385975
698,l5,4511,80.29288682551096,561.5598745229671
699,l5,4513,54.083291644126554,483.09607020773905
700,l4,4520,45.346759916998415,426.64724931009965
701,l4,4521,37.858304150888586,462.91950952739325
702,l5,4522,100.67812752214327,487.7566719399387
703,l5,4523,75.30058298143774,511.79040521445626
704,l4,4529,55.74739292548429,427.7305802827764
705,l4,4542,85.70121598992361,470.8712415656314
706,l5,4543,106.50248200689536,553.1451671636252
707,l4,4568,56.579443566163164,440.80482602347803
708,l5,4569,68.64417785600678,497.77402095444137
709,l5,4570,90.2774945136574,558.0847569422128
710,l4,4585,77.38070958313492,463.0542031190714
711,l5,4586,98.18197560010667,523.8340474944181
712,l4,4592,57.41149420684203,449.82839591169613
713,l5,4593,75.71660830177717,502.14349447412036
714,l4,4611,42.43458267462237,468.74780885875253
715,l4,4620,46.594835878016724,422.67560142262715
716,l4,4625,43.26663331530124,452.067851354553
717,l4,4635,5.408329164412655,411.7533728828043
718,l4,4636,95.68582367807005,450.97990353663033
719,l5,4637,61.571747410236384,503.35658820452903
720,l5,4638,86.94929195094191,548.1662948117596
721,l5,4639,69.47622849668565,556.335743062164
722,l5,4646,54.083291644126554,528.5892848484739
723,l4,4649,34.114076267833674,441.3560182600157
724,l5,4650,42.01855735428293,524.7053413582001
725,l5,4656,68.64417785600678,508.13768891440054
726,l5,4657,0.416025320339435,555.9519562172841
727,l5,4664,80.29288682551096,537.9454206478194
728,l4,4668,55.74739292548429,426.84302040169086
729,l4,4675,63.23584869159412,452.9033022911066
730,l4,4676,86.94929195094191,460.6806880571353
731,l4,4681,61.98777273057582,433.5578926628836
732,l5,4687,73.22045637974057,511.5204774609603
733,l4,4701,106.91850732723479,409.9868325238269
734,l4,4702,79.46083618483209,419.91940505338096
735,l5,4703,87.36531727128136,531.5568358212387
736,l4,4728,33.69805094749424,438.33792517837827
737,l4,4729,102.75825412384044,477.491085875083
738,l4,4734,59.90764612887864,441.3679680318103
739,l4,4741,70.72430445770395,413.80527617271053
740,l5,4745,116.07106437470237,492.7967963334586
741,l4,4751,40.77048139326463,450.0824461630237
742,l4,4752,99.43005156112497,457.79209182048436
743,l4,4757,56.579443566163164,436.0355927950025
744,l4,4761,83.62108938822644,464.6641085778333
745,l5,4762,68.22815253566735,530.0526409374806
746,l4,4771,59.49162080853921,427.9403634915399
747,l4,4772,64.89994997295186,446.14380119131397
748,l5,4781,99.43005156112497,500.2459383779078
